,"Alpha, nepoch",Accuracy,Percision,Recall,F1,Min-Max,"Alpha, nepoch",Accuracy,Percision,Recall,F1,Standardization,"Alpha, nepoch",Accuracy,Percision,Recall,F1,"Regularized LG, Lambda=0","Alpha, nepoch",Accuracy,Percision,Recall,F1,"Regularized LG, Lambda=1","Alpha, nepoch",Accuracy,Percision,Recall,F1,"Regularized LG, Lambda=10","Alpha, nepoch",Accuracy,Percision,Recall,F1,"Regularized LG, Lambda=100","Alpha, nepoch",Accuracy,Percision,Recall,F1,"Regularized LG, Lambda=1000","Alpha, nepoch",Accuracy,Percision,Recall,F1
0,"Kfold 0.1, 100",0.8073666067146282,0.11621621621621622,0.008907572736991129,0.01330188679245283,,"Kfold 0.1, 100",0.880095923261391,0.0,0.0,0.0,,"Kfold 0.1, 100",0.8503297362110314,0.16666666666666666,0.017815145473982257,0.030258895959201487,,"Kfold 0.1, 100",0.8241837299391257,0.15,0.03903383317442432,0.04449206890393389,,"Kfold 0.1, 100",0.7905264250138351,0.1398230088495575,0.06380919360896824,0.06342383780645737,,"Kfold 0.1, 100",0.780218133185759,0.15652173913043477,0.025494784894975586,0.04243223201779682,,"Kfold 0.1, 100",0.8203231645452866,0.1483050847457627,0.07850683308774667,0.07462034804145214,,"Kfold 0.1, 100",0.7313128343479063,0.14333333333333334,0.050585074109387194,0.05203114964675658
1,"0.1, 100",0.8003359731221502,0.11574074074074074,0.1,0.10729613733905581,,"0.1, 100",0.8800095992320615,0.0,0.0,0.0,,"0.1, 100",0.884809215262779,0.5409836065573771,0.264,0.3548387096774193,,"0.1, 100",0.822174226061915,0.17166212534059946,0.126,0.1453287197231834,,"0.1, 100",0.878809695224382,0.4825174825174825,0.138,0.2146189735614308,,"0.1, 100",0.8447324214062875,0.3689839572192513,0.414,0.3901979264844486,,"0.1, 100",0.5193184545236381,0.13783132530120482,0.572,0.22213592233009707,,"0.1, 100",0.7513798896088313,0.1298342541436464,0.188,0.15359477124183007
2,"Kfold 0.01, 100",0.8068869904076739,0.022807017543859647,0.01566265060240964,0.018571428571428572,,"Kfold 0.01, 100",0.16534368658919016,0.11990407673860912,0.16738609112709832,0.11371575931232092,,"Kfold 0.01, 100",0.49989854270429807,0.11946564885496183,0.12139782150183467,0.10452773613193403,,"Kfold 0.01, 100",0.8076179441062535,0.15675675675675677,0.025780821126231545,0.03595465393794749,,"Kfold 0.01, 100",0.8306320328352703,0.16666666666666666,0.007925226084192886,0.015105708245243127,,"Kfold 0.01, 100",0.8070887520752628,0.175,0.012966975816936812,0.024001814882032662,,"Kfold 0.01, 100",0.8256416021029331,0.06739130434782609,0.03734939759036145,0.04806201550387596,,"Kfold 0.01, 100",0.8222427826969193,0.1,0.005995203836930456,0.011312217194570135
3,"0.01, 100",0.8010559155267578,0.11475409836065574,0.098,0.1057173678532902,,"0.01, 100",0.43172546196304296,0.13798449612403102,0.712,0.23116883116883116,,"0.01, 100",0.5934725221982241,0.15046838407494145,0.514,0.23278985507246375,,"0.01, 100",0.8797696184305256,0.4984025559105431,0.312,0.3837638376383764,,"0.01, 100",0.8449724022078233,0.29945054945054944,0.218,0.2523148148148148,,"0.01, 100",0.8752099832013439,0.45901639344262296,0.224,0.3010752688172043,,"0.01, 100",0.8720902327813775,0.44694533762057875,0.278,0.34278668310727495,,"0.01, 100",0.6916246700263979,0.060470324748040316,0.108,0.07753050969131373
4,"Kfold 0.001, 100",0.5093208125807046,0.11025641025641027,0.0050590852619109535,0.007035845948701857,,"Kfold 0.001, 100",0.11990407673860912,0.11990407673860912,0.2,0.1332,,"Kfold 0.001, 100",0.4657939033388674,0.12037037037037038,0.12111756378030107,0.11045854226403751,,"Kfold 0.001, 100",0.8654497555801512,0.17142857142857143,0.020949986998353126,0.034440559440559446,,"Kfold 0.001, 100",0.8652099474266739,0.17142857142857143,0.020710178844875908,0.0339863407620417,,"Kfold 0.001, 100",0.8637710985058107,0.16842105263157894,0.017341307676750167,0.0287920828708842,,"Kfold 0.001, 100",0.8637710985058107,0.16842105263157894,0.017341307676750167,0.0287920828708842,,"Kfold 0.001, 100",0.8676137935805202,0.18,0.010118170523821907,0.018158955013216314
5,"0.001, 100",0.7933765298776098,0.03116883116883117,0.024,0.02711864406779661,,"0.001, 100",0.11999040076793857,0.11999040076793857,1.0,0.21427040925648166,,"0.001, 100",0.47396208303335735,0.11823104693140794,0.524,0.19293078055964655,,"0.001, 100",0.8845692344612431,0.558282208588957,0.182,0.2745098039215686,,"0.001, 100",0.8845692344612431,0.558282208588957,0.182,0.2745098039215686,,"0.001, 100",0.8843292536597073,0.5555555555555556,0.18,0.2719033232628399,,"0.001, 100",0.8843292536597073,0.5555555555555556,0.18,0.2719033232628399,,"0.001, 100",0.8833693304535637,0.5636363636363636,0.124,0.20327868852459016
6,"Kfold 0.1, 500",0.7139803541781958,0.12380952380952381,0.013247233538470429,0.018369668246445498,,"Kfold 0.1, 500",0.880095923261391,0.0,0.0,0.0,,"Kfold 0.1, 500",0.8644922523519647,0.16875,0.014452052815578865,0.02459189046866772,,"Kfold 0.1, 500",0.8130833794502859,0.15,0.018733928519834735,0.033305879661404705,,"Kfold 0.1, 500",0.8118929856115109,0.16307692307692306,0.0510762474357863,0.05870729219785824,,"Kfold 0.1, 500",0.8212898911639919,0.14929577464788732,0.05248042529831557,0.0641501976284585,,"Kfold 0.1, 500",0.8179567884154215,0.13555555555555557,0.024313079656756522,0.03458904109589041,,"Kfold 0.1, 500",0.5207900986902786,0.11666666666666667,0.06215942908323944,0.029874366456765472
7,"0.1, 500",0.8180945524358051,0.09937888198757763,0.064,0.07785888077858881,,"0.1, 500",0.8800095992320615,0.0,0.0,0.0,,"0.1, 500",0.8833693304535637,0.5421686746987951,0.18,0.27027027027027023,,"0.1, 500",0.8240940724742021,0.31825273010920435,0.408,0.35758106923751093,,"0.1, 500",0.8821694264458844,0.5692307692307692,0.074,0.13097345132743363,,"0.1, 500",0.8742500599952003,0.4574468085106383,0.258,0.329923273657289,,"0.1, 500",0.8099352051835853,0.2420494699646643,0.274,0.25703564727954975,,"0.1, 500",0.8795296376289897,0.49740932642487046,0.384,0.43340857787810383
8,"Kfold 0.01, 500",0.7421359066592881,0.039344262295081964,0.028915662650602407,0.03333333333333333,,"Kfold 0.01, 500",0.8796157304925292,0.0,0.0,0.0,,"Kfold 0.01, 500",0.8111862433130419,0.15,0.06058767443876224,0.0832362831132617,,"Kfold 0.01, 500",0.8169687327061428,0.04878048780487805,0.07228915662650602,0.058252427184466014,,"Kfold 0.01, 500",0.7885860542335363,0.2,0.011528126896073502,0.02164341085271318,,"Kfold 0.01, 500",0.8236989254750045,0.14615384615384616,0.08527346797260986,0.0692914333875143,,"Kfold 0.01, 500",0.791253343479063,0.15945945945945947,0.05828782756926989,0.06607373445729293,,"Kfold 0.01, 500",0.7720439033388674,0.13285714285714284,0.03130796567565225,0.03700980392156863
9,"0.01, 500",0.8185745140388769,0.1,0.064,0.07804878048780488,,"0.01, 500",0.8797696184305256,0.0,0.0,0.0,,"0.01, 500",0.8552915766738661,0.39337474120082816,0.38,0.38657171922685657,,"0.01, 500",0.8809695224382049,0.5051020408163265,0.396,0.4439461883408072,,"0.01, 500",0.8797696184305256,0.49809885931558934,0.262,0.3433813892529489,,"0.01, 500",0.8195344372450204,0.33421052631578946,0.508,0.4031746031746032,,"0.01, 500",0.874970002399808,0.46579804560260585,0.286,0.35439900867410157,,"0.01, 500",0.800815934725222,0.3090277777777778,0.534,0.3914956011730205
