age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
37;technician;single;secondary;no;2442;no;no;cellular;16;feb;91;3;-1;0;unknown;yes
35;management;married;tertiary;no;4124;yes;no;cellular;23;jul;350;2;445;7;other;yes
27;student;single;secondary;no;279;no;no;cellular;12;oct;323;1;-1;0;unknown;yes
42;management;divorced;unknown;no;7702;no;no;cellular;16;feb;138;2;-1;0;unknown;yes
62;management;married;tertiary;no;3371;no;no;cellular;25;mar;187;1;178;2;success;yes
51;management;married;tertiary;no;2635;no;no;cellular;21;may;407;3;74;5;failure;yes
45;management;married;tertiary;no;1309;no;no;cellular;2;jul;367;1;-1;0;unknown;yes
27;management;married;tertiary;no;893;no;no;cellular;16;oct;154;2;-1;0;unknown;yes
51;admin.;single;tertiary;no;394;no;no;telephone;28;jan;968;2;-1;0;unknown;yes
31;management;married;tertiary;no;10884;no;no;cellular;10;aug;294;3;98;2;success;yes
30;services;married;secondary;no;517;no;no;cellular;11;dec;141;2;-1;0;unknown;yes
28;services;single;secondary;no;168;no;no;cellular;12;jan;387;1;194;1;other;yes
64;retired;married;secondary;no;1574;no;no;telephone;29;jul;301;3;-1;0;unknown;yes
25;blue-collar;single;secondary;no;509;no;no;cellular;5;mar;418;1;-1;0;unknown;yes
34;entrepreneur;married;tertiary;no;0;yes;no;cellular;6;may;611;1;183;1;failure;yes
27;student;single;secondary;no;538;no;no;cellular;4;jun;124;2;-1;0;unknown;yes
44;blue-collar;single;secondary;no;292;no;yes;cellular;17;jul;1153;4;-1;0;unknown;yes
48;technician;single;secondary;no;-92;yes;no;cellular;3;feb;1393;1;-1;0;unknown;yes
38;entrepreneur;divorced;secondary;no;1190;yes;no;cellular;4;jun;81;2;391;3;failure;yes
27;management;single;tertiary;no;107;no;no;cellular;18;oct;767;3;-1;0;unknown;yes
24;student;single;unknown;no;358;no;no;cellular;14;jun;245;1;384;1;other;yes
41;blue-collar;married;secondary;no;2039;yes;no;cellular;8;may;729;1;-1;0;unknown;yes
38;housemaid;married;primary;no;196;no;no;cellular;30;apr;574;1;-1;0;unknown;yes
43;technician;married;tertiary;no;2643;no;no;telephone;4;may;331;5;-1;0;unknown;yes
35;technician;married;secondary;no;0;yes;no;cellular;9;nov;524;1;96;5;success;yes
28;self-employed;single;secondary;no;5679;yes;no;cellular;9;feb;701;4;-1;0;unknown;yes
27;blue-collar;single;secondary;no;2486;yes;no;unknown;29;may;733;1;-1;0;unknown;yes
52;technician;married;secondary;no;386;no;no;cellular;20;apr;438;1;-1;0;unknown;yes
59;admin.;married;secondary;no;145;yes;no;telephone;12;may;556;2;287;13;success;yes
59;technician;married;secondary;no;135;yes;yes;cellular;23;jul;416;4;-1;0;unknown;yes
62;technician;married;secondary;no;973;no;no;cellular;2;feb;326;1;-1;0;unknown;yes
47;technician;married;tertiary;no;2408;no;no;cellular;30;apr;376;1;-1;0;unknown;yes
53;technician;married;secondary;no;6831;no;no;cellular;13;may;1130;2;-1;0;unknown;yes
28;blue-collar;single;secondary;no;-127;yes;no;cellular;4;jul;1044;3;-1;0;unknown;yes
28;admin.;single;secondary;no;4745;no;no;telephone;12;may;360;1;181;5;success;yes
41;technician;single;tertiary;no;145;no;no;cellular;22;jul;1833;2;-1;0;unknown;yes
35;blue-collar;married;primary;no;414;no;no;unknown;13;may;504;4;-1;0;unknown;yes
61;management;married;tertiary;no;997;no;no;cellular;10;mar;106;1;-1;0;unknown;yes
33;management;single;tertiary;no;3552;no;no;cellular;13;feb;158;2;85;3;failure;yes
45;management;married;tertiary;no;547;no;no;cellular;2;feb;577;1;-1;0;unknown;yes
25;services;single;tertiary;no;12;no;no;cellular;12;jun;126;6;-1;0;unknown;yes
33;technician;single;secondary;no;2979;no;no;cellular;5;aug;326;2;437;1;failure;yes
34;management;married;tertiary;no;1778;no;no;cellular;4;nov;358;1;162;2;failure;yes
37;management;married;tertiary;no;2283;no;no;cellular;6;aug;303;2;92;4;success;yes
36;unemployed;married;tertiary;no;4145;no;no;unknown;20;jun;988;4;-1;0;unknown;yes
32;blue-collar;married;primary;no;3136;yes;no;cellular;19;nov;820;1;-1;0;unknown;yes
47;management;married;unknown;no;4189;yes;no;cellular;19;nov;489;3;-1;0;unknown;yes
44;blue-collar;married;primary;no;-101;yes;no;cellular;15;may;679;1;366;4;failure;yes
31;technician;married;tertiary;no;636;yes;no;cellular;4;may;352;4;-1;0;unknown;yes
36;entrepreneur;divorced;tertiary;no;776;no;yes;cellular;7;jul;722;3;-1;0;unknown;yes
26;management;single;tertiary;no;170;no;no;cellular;15;jun;129;1;-1;0;unknown;yes
29;technician;single;secondary;no;1165;no;no;cellular;2;jun;245;1;-1;0;unknown;yes
65;retired;married;primary;no;1760;no;no;cellular;18;aug;855;4;-1;0;unknown;yes
42;entrepreneur;married;secondary;no;2959;yes;no;telephone;2;jul;711;1;342;1;failure;yes
35;management;single;tertiary;no;565;yes;no;unknown;30;may;763;1;-1;0;unknown;yes
23;technician;single;tertiary;no;1129;yes;no;unknown;28;may;806;1;-1;0;unknown;yes
34;admin.;single;secondary;no;151;yes;no;cellular;12;may;590;1;370;1;other;yes
25;student;married;tertiary;no;10;yes;no;cellular;21;jul;857;4;-1;0;unknown;yes
61;retired;married;secondary;no;3114;no;no;cellular;13;nov;381;1;-1;0;unknown;yes
28;management;single;tertiary;no;957;no;no;cellular;25;may;915;2;-1;0;unknown;yes
47;blue-collar;married;secondary;no;1996;no;no;unknown;5;jun;761;2;-1;0;unknown;yes
22;student;single;secondary;no;1522;no;no;cellular;30;oct;368;2;-1;0;unknown;yes
27;blue-collar;single;tertiary;no;567;no;no;cellular;26;may;523;3;182;3;success;yes
25;student;single;secondary;no;469;no;no;cellular;21;aug;273;1;86;1;other;yes
64;retired;married;primary;no;2140;no;no;cellular;16;mar;881;3;155;2;failure;yes
27;management;single;tertiary;no;1720;no;no;cellular;15;jun;910;1;224;3;success;yes
38;technician;married;secondary;no;205;no;no;cellular;26;may;332;1;-1;0;unknown;yes
56;housemaid;divorced;primary;yes;1238;no;no;unknown;5;jun;1558;1;-1;0;unknown;yes
60;technician;married;secondary;no;116;no;no;cellular;11;aug;329;2;181;8;success;yes
36;management;single;tertiary;no;7506;yes;no;cellular;6;may;839;2;188;1;success;yes
33;management;married;tertiary;no;71;no;no;cellular;26;feb;335;3;102;2;failure;yes
34;management;married;tertiary;no;0;yes;no;cellular;3;feb;251;1;-1;0;unknown;yes
55;management;married;primary;no;113;no;no;cellular;12;aug;306;1;457;3;failure;yes
53;unemployed;married;secondary;no;94;no;no;cellular;10;aug;493;1;181;14;success;yes
30;services;married;secondary;no;48;yes;no;cellular;31;jul;662;13;-1;0;unknown;yes
31;student;single;secondary;no;1776;no;no;cellular;15;jun;220;1;207;1;other;yes
